UTC Date & Time,Voyage No.,Instructed Speed,CP Fuel Cons. limit,SS/HS/PS,Steaming time (HRS),Speed (KTS),Slip (%),Wind force,ME FO Consumption,Total FO Consumption,ME FO Consumption / 24 hrs,TOTAL FO Consumption / 24 hrs
13-Aug-21,01 B,11,32,SS,0.6,10,26.83,5,0.8,0.93,32,37.2
14-Aug-21,01 B,11,32,SS,24,11.2,19.15,4,33.5,36.8,33.5,36.8
15-Aug-21,01 B,11,32,SS,24,11,20.65,4,32.7,36,32.7,36
16-Aug-21,01 B,11,32,SS,24,11,20.31,4,32.9,36.2,32.9,36.2
16-Aug-21,01 B,11,32,SS,7.2,11.1,19.76,4,9.9,10.87,33,36.23
30-Aug-21,02 B,11,32,SS,3,11.7,4.11,3,4.1,4.49,32.8,35.92
31-Aug-21,02 B,11,32,SS,24,8.1,25.38,4,23.3,27.04,23.3,27.04
1-Sep-21,02 B,11,32,SS,25,11,25.17,5,35.4,40.21,33.98,38.6
2-Sep-21,02 B,11,32,SS,24.5,11.3,23.27,4,35.9,40.9,35.17,40.07
3-Sep-21,02 B,11,32,SS,24,11.9,19.23,4,36,39,36,39
28-Sep-21,03 B,11,32,SS,12.7,5,19.7,2,8.2,10,15.5,18.9
29-Sep-21,03 B,11,32,SS,24,6.5,25.91,2,21,24.2,21,24.2
29-Sep-21,03 B,11,32,SS,6,4.8,30.12,2,6.5,7.25,26,29
17-Oct-21,04 B,11,32,SS,23.9,11.2,14.67,2,34,37,34.14,37.15
18-Oct-21,04 B,11,32,SS,24,10.13,24.23,3,34,37,34,37
19-Oct-21,04 B,11,32,SS,24,10.63,22.18,4,34,36.8,34,36.8
20-Oct-21,04 B,11,32,SS,24,10.46,23.71,4,34,36.8,34,36.8
20-Oct-21,04 B,11,32,SS,5.9,10.17,26.47,4,7.8,8.5,31.73,34.58
21-Oct-21,04 B1,11,32,SS,17.1,9.71,25.53,4,22,23.7,30.88,33.26
22-Oct-21,04 B1,11,32,SS,24,11.46,16.49,4,33,35.8,33,35.8
23-Oct-21,04 B1,11,32,SS,24,10.75,21.46,3,33,35.8,33,35.8
23-Oct-21,04 B1,11,32,SS,9.9,10.71,21.89,3,12.5,13.65,30.3,33.09
5-Nov-21,05 B,11,32,SS,19.5,11.18,14.58,4,29.36,32.36,36.14,39.83
6-Nov-21,05 B,11,32,SS,25,11,17.69,4,39.16,42.56,37.59,40.86
7-Nov-21,05 B,11,32,SS,24.5,10.78,17.53,4,36.3,39.7,35.56,38.89
8-Nov-21,05 B,11,32,SS,24,11.04,15.23,3,33.9,36.9,33.9,36.9
8-Nov-21,05 B,11,32,SS,6.2,10.08,23.41,3,5.64,6.26,21.83,24.23
10-Dec-21,06 B,11,32,SS,14.8,12.09,16.9,4,24,25.7,38.92,41.68
10-Dec-21,06 B,11,32,SS,9.2,12.5,18.73,3,15,16,39.13,41.74
22-Dec-21,07 B1,11,32,SS,18.8,10.64,25.46,4,27.1,28.8,34.6,36.77
24-Dec-21,07 B1,11,32,SS,24,9.75,28.64,3,36,38.3,36,38.3
25-Dec-21,07 B1,11,32,SS,24,10.38,15.45,3,27,29.3,27,29.3
25-Dec-21,07 B1,11,32,SS,6,9.17,27.25,2,7,7.6,28,30.4
28-Dec-21,07B2,11,32,SS,20.2,10.05,26.93,4,28,29.9,33.27,35.52
29-Dec-21,07B2,11,32,SS,24,10.88,23.28,4,35,37.3,35,37.3
30-Dec-21,07B2,11,32,SS,24,11.13,21.38,5,34.5,36.8,34.5,36.8
30-Dec-21,07B2,11,32,SS,15,9.2,36.26,5,21,22.5,33.6,36
19-Jan-22,08 B,11,32,SS,7.5,12.67,8.92,4,11,11.6,35.2,37.12
20-Jan-22,08 B,11,32,SS,24,11.5,18.99,3,36.5,38.5,36.5,38.5
21-Jan-22,08 B,11,32,SS,24,11.04,18.08,3,32.5,34.5,32.5,34.5
22-Jan-22,08 B,11,32,SS,24,10.71,22.1,3,33.5,35.5,33.5,35.5
23-Jan-22,08 B,11,32,SS,24,10.63,22.11,4,33,35,33,35
24-Jan-22,08 B,11,32,SS,24,10.54,23.43,3,33,35,33,35
25-Jan-22,08 B,11,32,SS,24,11.54,16.87,3,34,36,34,36
26-Jan-22,08 B,11,32,SS,18.8,10.43,20.33,3,23,24.5,29.36,31.28
14-Feb-22,09B,11,32,SS,18.9,10.74,21.65,4,28,29.5,35.56,37.46
18-Feb-22,09B,11,32,SS,0.5,12,14.29,3,0.7,0.8,33.6,38.4
18-Feb-22,09B,11,32,SS,15.5,11.1,17.78,3,21,22.2,32.52,34.37
3-Apr-22,10 - B,11,32,SS,16,10.44,17.65,2,20,21.2,30,31.8
3-Apr-22,10 - B,11,32,SS,2.7,11.85,4.48,2,3,2.2,26.67,19.56
16-Apr-22,10 - B,11,32,SS,9.2,10.65,15.88,3,11,11.8,28.7,30.78
30-Apr-22,10 - B,11,32,SS,25,10,20.18,3,31,33,29.76,31.68
1-May-22,10 - B,11,32,SS,24,10.17,19.45,4,30,32,30,32
2-May-22,10 - B,11,32,SS,24,10.17,19.07,4,30,32,30,32
2-May-22,10 - B,11,32,SS,8,9.75,22.7,4,10,10.8,30,32.4
9-May-22,10 - B,11,32,SS,21.4,10,20.06,4,26.2,28,29.38,31.4
10-May-22,10 - B,11,32,SS,24,10,21.98,4,29.9,32,29.9,32
11-May-22,10 - B,11,32,SS,24,10.46,17.27,3,29.5,31.5,29.5,31.5
12-May-22,10 - B,11,32,SS,24,10.42,18.06,3,29.5,31.5,29.5,31.5
13-May-22,10 - B,11,32,SS,24,9.75,22.16,4,29,31,29,31
14-May-22,10 - B,11,32,SS,24,9.67,22.69,3,29,31,29,31
15-May-22,10 - B,11,32,SS,24,10.04,20.28,3,29.2,31.2,29.2,31.2
16-May-22,10 - B,11,32,SS,24,10,21.26,2,29.6,31.6,29.6,31.6
16-May-22,10 - B,11,32,SS,14.6,10,17.47,4,18.6,20.2,30.58,33.21
18-May-22,10 - B,11,32,SS,14,11.07,11.68,3,17.1,18.3,29.31,31.37
19-May-22,10 - B,11,32,SS,25,9.92,20.59,4,30.5,32.6,29.28,31.3
20-May-22,10 - B,11,32,SS,24,9,29.13,5,29.6,31.6,29.6,31.6
21-May-22,10 - B,11,32,SS,25,9.32,28.04,5,31.3,33.5,30.05,32.16
22-May-22,10 - B,11,32,SS,24,8.88,31.56,6,29.6,31.8,29.6,31.8
23-May-22,10 - B,11,32,SS,24.5,8.53,34.19,6,30.2,32.4,29.58,31.74
23-May-22,10 - B,11,32,SS,12,8.5,36.01,5,15.6,16.7,31.2,33.4
8-Jun-22,11 B,11,32,SS,2.5,10.4,19.5,3,3.04,3.04,29.18,29.18
9-Jun-22,11 B,11,32,SS,24,10.63,16.56,3,30,30,30,30
10-Jun-22,11 B,11,32,SS,24,10.17,20.83,3,29.7,29.7,29.7,29.7
11-Jun-22,11 B,11,32,SS,24,10.25,20.1,3,29.9,29.9,29.9,29.9
12-Jun-22,11 B,11,32,SS,22.5,10.89,16.24,3,28,28,29.87,29.87
13-Jun-22,11 B,11,32,SS,3.6,10,23.08,4,4.48,4.48,29.87,29.87
14-Jun-22,11 B,11,32,SS,24,11.33,12.2,3,30,30,30,30
15-Jun-22,11 B,11,32,SS,24,10.13,21.49,4,30,30,30,30
16-Jun-22,11 B,11,32,SS,24,10.88,15.53,3,29.9,29.9,29.9,29.9
16-Jun-22,11 B,11,32,SS,7,11.29,12.71,3,8.7,8.7,29.83,29.83
2-Jul-22,12 B,11,32,SS,7,9.29,27.13,5,8.9,8.9,30.51,30.51
3-Jul-22,12 B,11,32,SS,24,6.83,45.5,7,30.1,30.1,30.1,30.1
4-Jul-22,12 B,11,32,SS,24,7.46,40.45,6,29.7,29.7,29.7,29.7
5-Jul-22,12 B,11,32,SS,24,7.96,36.4,6,29.6,29.6,29.6,29.6
6-Jul-22,12 B,11,32,SS,25,9.6,25.28,4,31.2,31.2,29.95,29.95
7-Jul-22,12 B,11,32,SS,24,9.96,21.1,4,29.1,29.1,29.1,29.1
7-Jul-22,12 B,11,32,SS,3.5,10.86,13.64,4,4.3,4.3,29.49,29.49
