UTC Date & Time,Instructed Speed
2021-08-18,11
2021-08-19,11
2021-08-20,11
2021-08-21,11
2021-08-22,11
2021-08-23,11
2021-08-24,11
2021-08-25,11
2021-08-25,11
2021-09-09,11
2021-09-09,11
2021-09-11,11
2021-09-12,11
2021-09-13,11
2021-09-14,11
2021-09-15,11
2021-09-16,11
2021-09-17,11
2021-09-18,11
2021-09-19,11
2021-09-20,11
2021-09-21,11
2021-09-22,11
2021-09-22,11
2021-10-05,12
2021-10-06,12
2021-10-07,12
2021-10-08,12
2021-10-09,12
2021-10-10,12
2021-10-11,12
2021-10-12,12
2021-10-13,12
2021-10-27,11
2021-10-28,11
2021-10-29,11
2021-10-30,11
2021-10-31,11
2021-11-01,11
2021-11-02,11
2021-11-03,11
2021-11-15,11
2021-11-15,11
2021-11-16,11
2021-11-17,11
2021-11-18,11
2021-11-19,11
2021-11-20,11
2021-11-21,11
2021-11-22,11
2021-11-23,11
2021-11-24,11
2021-11-25,11
2021-11-26,11
2021-11-27,11
2021-11-28,11
2021-11-28,11
2021-12-13,11
2021-12-14,11
2021-12-15,11
2021-12-16,11
2021-12-17,11
2021-12-18,11
2021-12-19,11
2021-12-19,11
2022-01-04,11
2022-01-05,11
2022-01-06,11
2022-01-07,11
2022-01-08,11
2022-01-09,11
2022-01-10,11
2022-01-11,11
2022-01-11,11
2022-02-02,11
2022-02-03,11
2022-02-04,11
2022-02-05,11
2022-02-06,11
2022-02-07,11
2022-02-08,11
2022-02-09,11
2022-02-09,11
2022-03-02,11
2022-03-03,11
2022-03-04,11
2022-03-06,11
2022-03-07,11
2022-03-08,11
2022-03-09,11
2022-03-10,11
2022-03-11,11
2022-03-12,11
2022-03-13,11
2022-03-13,11
2022-03-15,11
2022-03-16,11
2022-03-17,11
2022-03-18,11
2022-03-19,11
2022-03-20,11
2022-03-21,11
2022-03-22,11
2022-03-23,11
2022-03-24,11
2022-03-25,11
2022-03-26,11
2022-03-27,11
2022-03-27,11
2022-05-28,11
2022-05-29,11
2022-05-30,11
2022-05-31,11
2022-06-01,11
2022-06-02,11
2022-06-03,11
2022-06-04,11
2022-06-05,11
2022-06-06,11
2022-06-21,11
2022-06-22,11
2022-06-23,11
2022-06-24,11
2022-06-25,11
2022-06-26,11
2022-06-27,11
2022-06-28,11
2022-06-29,11
2022-06-29,11
